"R.native","FormalUnicodeNotation","Desc","Group","Subgroup","Status","WAImpMatch"
"🏅","U+1F3C5","sports medal","Activities","AwardMedal","fully-qualified","Yes"
"🎖","U+1F396","military medal","Activities","AwardMedal","non-fully-qualified","Yes"
"🏵","U+1F3F5","rosette","AnimalsNNaturee","PlantFlower","non-fully-qualified","Yes"
"🎗","U+1F397","reminder ribbon","Activities","Event","non-fully-qualified","Yes"
"🎫","U+1F3AB","ticket","Activities","Event","fully-qualified","Yes"
"🎟","U+1F39F","admission tickets","Activities","Event","non-fully-qualified","Yes"
"🎪","U+1F3AA","circus tent","TravelNPlaces","PlaceOther","fully-qualified","Yes"
"🤹‍♀","U+1F939 U+200D U+2640","woman juggling","SmileysNPeople","PersonSport","non-fully-qualified","Yes"
"🤹🏻‍♀","U+1F939 U+1F3FB U+200D U+2640","woman juggling: light skin tone","SmileysNPeople","PersonSport","non-fully-qualified","Yes"
"🤹🏼‍♀","U+1F939 U+1F3FC U+200D U+2640","woman juggling: medium-light skin tone","SmileysNPeople","PersonSport","non-fully-qualified","Yes"
"🤹🏽‍♀","U+1F939 U+1F3FD U+200D U+2640","woman juggling: medium skin tone","SmileysNPeople","PersonSport","non-fully-qualified","Yes"
"🤹🏾‍♀","U+1F939 U+1F3FE U+200D U+2640","woman juggling: medium-dark skin tone","SmileysNPeople","PersonSport","non-fully-qualified","Yes"
"🤹🏿‍♀","U+1F939 U+1F3FF U+200D U+2640","woman juggling: dark skin tone","SmileysNPeople","PersonSport","non-fully-qualified","Yes"
"🤹‍♂","U+1F939 U+200D U+2642","man juggling","SmileysNPeople","PersonSport","non-fully-qualified","Yes"
"🤹🏻‍♂","U+1F939 U+1F3FB U+200D U+2642","man juggling: light skin tone","SmileysNPeople","PersonSport","non-fully-qualified","Yes"
"🤹🏼‍♂","U+1F939 U+1F3FC U+200D U+2642","man juggling: medium-light skin tone","SmileysNPeople","PersonSport","non-fully-qualified","Yes"
"🤹🏽‍♂","U+1F939 U+1F3FD U+200D U+2642","man juggling: medium skin tone","SmileysNPeople","PersonSport","non-fully-qualified","Yes"
"🤹🏾‍♂","U+1F939 U+1F3FE U+200D U+2642","man juggling: medium-dark skin tone","SmileysNPeople","PersonSport","non-fully-qualified","Yes"
"🤹🏿‍♂","U+1F939 U+1F3FF U+200D U+2642","man juggling: dark skin tone","SmileysNPeople","PersonSport","non-fully-qualified","Yes"
"🎭","U+1F3AD","performing arts","TravelNPlaces","PlaceOther","fully-qualified","Yes"
"🎨","U+1F3A8","artist palette","TravelNPlaces","PlaceOther","fully-qualified","Yes"
"🎬","U+1F3AC","clapper board","Objects","LightNVideo","fully-qualified","Yes"
"🎤","U+1F3A4","microphone","Objects","Music","fully-qualified","Yes"
"🎧","U+1F3A7","headphone","Objects","Music","fully-qualified","Yes"
"🎼","U+1F3BC","musical score","Objects","Music","fully-qualified","Yes"
"🎹","U+1F3B9","musical keyboard","Objects","Instrument","fully-qualified","Yes"
"🥁","U+1F941","drum","Objects","Instrument","fully-qualified","Yes"
"🎷","U+1F3B7","saxophone","Objects","Instrument","fully-qualified","Yes"
"🎺","U+1F3BA","trumpet","Objects","Instrument","fully-qualified","Yes"
"🎸","U+1F3B8","guitar","Objects","Instrument","fully-qualified","Yes"
"🎻","U+1F3BB","violin","Objects","Instrument","fully-qualified","Yes"
"🎲","U+1F3B2","game die","Activities","Game","fully-qualified","Yes"
"🎯","U+1F3AF","direct hit","Activities","Sport","fully-qualified","Yes"
"🎳","U+1F3B3","bowling","Activities","Sport","fully-qualified","Yes"
"🎮","U+1F3AE","video game","Activities","Game","fully-qualified","Yes"
"🎰","U+1F3B0","slot machine","TravelNPlaces","PlaceOther","fully-qualified","Yes"
"❤","U+2764","red heart","SmileysNPeople","Emotion","non-fully-qualified","Yes"
"🧡","U+1F9E1","orange heart","SmileysNPeople","Emotion","fully-qualified","Yes"
"💛","U+1F49B","yellow heart","SmileysNPeople","Emotion","fully-qualified","Yes"
"💚","U+1F49A","green heart","SmileysNPeople","Emotion","fully-qualified","Yes"
"💙","U+1F499","blue heart","SmileysNPeople","Emotion","fully-qualified","Yes"
"💜","U+1F49C","purple heart","SmileysNPeople","Emotion","fully-qualified","Yes"
"🖤","U+1F5A4","black heart","SmileysNPeople","Emotion","fully-qualified","Yes"
"💔","U+1F494","broken heart","SmileysNPeople","Emotion","fully-qualified","Yes"
"❣","U+2763","heavy heart exclamation","SmileysNPeople","Emotion","non-fully-qualified","Yes"
"💕","U+1F495","two hearts","SmileysNPeople","Emotion","fully-qualified","Yes"
"💞","U+1F49E","revolving hearts","SmileysNPeople","Emotion","fully-qualified","Yes"
"💓","U+1F493","beating heart","SmileysNPeople","Emotion","fully-qualified","Yes"
"💗","U+1F497","growing heart","SmileysNPeople","Emotion","fully-qualified","Yes"
"💖","U+1F496","sparkling heart","SmileysNPeople","Emotion","fully-qualified","Yes"
"💘","U+1F498","heart with arrow","SmileysNPeople","Emotion","fully-qualified","Yes"
"💝","U+1F49D","heart with ribbon","SmileysNPeople","Emotion","fully-qualified","Yes"
"💟","U+1F49F","heart decoration","SmileysNPeople","Emotion","fully-qualified","Yes"
"☮","U+262E","peace symbol","Symbols","Religion","non-fully-qualified","Yes"
"✝","U+271D","latin cross","Symbols","Religion","non-fully-qualified","Yes"
"☪","U+262A","star and crescent","Symbols","Religion","non-fully-qualified","Yes"
"🕉","U+1F549","om","Symbols","Religion","non-fully-qualified","Yes"
"☸","U+2638","wheel of dharma","Symbols","Religion","non-fully-qualified","Yes"
"✡","U+2721","star of David","Symbols","Religion","non-fully-qualified","Yes"
"🔯","U+1F52F","dotted six-pointed star","Symbols","Religion","fully-qualified","Yes"
"🕎","U+1F54E","menorah","Symbols","Religion","fully-qualified","Yes"
"☯","U+262F","yin yang","Symbols","Religion","non-fully-qualified","Yes"
"☦","U+2626","orthodox cross","Symbols","Religion","non-fully-qualified","Yes"
"🛐","U+1F6D0","place of worship","Symbols","Religion","fully-qualified","Yes"
"⛎","U+26CE","Ophiuchus","Symbols","Zodiac","fully-qualified","Yes"
"♈","U+2648","Aries","Symbols","Zodiac","fully-qualified","Yes"
"♉","U+2649","Taurus","Symbols","Zodiac","fully-qualified","Yes"
"♊","U+264A","Gemini","Symbols","Zodiac","fully-qualified","Yes"
"♋","U+264B","Cancer","Symbols","Zodiac","fully-qualified","Yes"
"♌","U+264C","Leo","Symbols","Zodiac","fully-qualified","Yes"
"♍","U+264D","Virgo","Symbols","Zodiac","fully-qualified","Yes"
"♎","U+264E","Libra","Symbols","Zodiac","fully-qualified","Yes"
"♏","U+264F","Scorpius","Symbols","Zodiac","fully-qualified","Yes"
"♐","U+2650","Sagittarius","Symbols","Zodiac","fully-qualified","Yes"
"♑","U+2651","Capricorn","Symbols","Zodiac","fully-qualified","Yes"
"♒","U+2652","Aquarius","Symbols","Zodiac","fully-qualified","Yes"
"♓","U+2653","Pisces","Symbols","Zodiac","fully-qualified","Yes"
"🆔","U+1F194","ID button","Symbols","AlphaNum","fully-qualified","Yes"
"⚛","U+269B","atom symbol","Symbols","Religion","non-fully-qualified","Yes"
"🉑","U+1F251","Japanese ""acceptable"" button","Symbols","AlphaNum","fully-qualified","Yes"
"☢","U+2622","radioactive","Symbols","Warning","non-fully-qualified","Yes"
"☣","U+2623","biohazard","Symbols","Warning","non-fully-qualified","Yes"
"📴","U+1F4F4","mobile phone off","Symbols","AVSymbol","fully-qualified","Yes"
"📳","U+1F4F3","vibration mode","Symbols","AVSymbol","fully-qualified","Yes"
"🈶","U+1F236","Japanese ""not free of charge"" button","Symbols","AlphaNum","fully-qualified","Yes"
"🈚","U+1F21A","Japanese ""free of charge"" button","Symbols","AlphaNum","fully-qualified","Yes"
"🈸","U+1F238","Japanese ""application"" button","Symbols","AlphaNum","fully-qualified","Yes"
"🈺","U+1F23A","Japanese ""open for business"" button","Symbols","AlphaNum","fully-qualified","Yes"
"🈷","U+1F237","Japanese ""monthly amount"" button","Symbols","AlphaNum","non-fully-qualified","Yes"
"✴","U+2734","eight-pointed star","Symbols","Other","non-fully-qualified","Yes"
"🆚","U+1F19A","VS button","Symbols","AlphaNum","fully-qualified","Yes"
"💮","U+1F4AE","white flower","AnimalsNNaturee","PlantFlower","fully-qualified","Yes"
"🉐","U+1F250","Japanese ""bargain"" button","Symbols","AlphaNum","fully-qualified","Yes"
"㊙","U+3299","Japanese ""secret"" button","Symbols","AlphaNum","non-fully-qualified","Yes"
"㊗","U+3297","Japanese ""congratulations"" button","Symbols","AlphaNum","non-fully-qualified","Yes"
"🈴","U+1F234","Japanese ""passing grade"" button","Symbols","AlphaNum","fully-qualified","Yes"
"🈵","U+1F235","Japanese ""no vacancy"" button","Symbols","AlphaNum","fully-qualified","Yes"
"🈹","U+1F239","Japanese ""discount"" button","Symbols","AlphaNum","fully-qualified","Yes"
"🈲","U+1F232","Japanese ""prohibited"" button","Symbols","AlphaNum","fully-qualified","Yes"
"🅰","U+1F170","A button (blood type)","Symbols","AlphaNum","non-fully-qualified","Yes"
"🅱","U+1F171","B button (blood type)","Symbols","AlphaNum","non-fully-qualified","Yes"
"🆎","U+1F18E","AB button (blood type)","Symbols","AlphaNum","fully-qualified","Yes"
"🆑","U+1F191","CL button","Symbols","AlphaNum","fully-qualified","Yes"
"🅾","U+1F17E","O button (blood type)","Symbols","AlphaNum","non-fully-qualified","Yes"
"🆘","U+1F198","SOS button","Symbols","AlphaNum","fully-qualified","Yes"
"❌","U+274C","cross mark","Symbols","Other","fully-qualified","Yes"
"⭕","U+2B55","heavy large circle","Symbols","Other","fully-qualified","Yes"
"🛑","U+1F6D1","stop sign","TravelNPlaces","TransportGround","fully-qualified","Yes"
"⛔","U+26D4","no entry","Symbols","Warning","fully-qualified","Yes"
"📛","U+1F4DB","name badge","Symbols","Other","fully-qualified","Yes"
"🚫","U+1F6AB","prohibited","Symbols","Warning","fully-qualified","Yes"
"💯","U+1F4AF","hundred points","Symbols","AlphaNum","fully-qualified","Yes"
"💢","U+1F4A2","anger symbol","SmileysNPeople","Emotion","fully-qualified","Yes"
"♨","U+2668","hot springs","TravelNPlaces","PlaceOther","non-fully-qualified","Yes"
"🚷","U+1F6B7","no pedestrians","Symbols","Warning","fully-qualified","Yes"
"🚯","U+1F6AF","no littering","Symbols","Warning","fully-qualified","Yes"
"🚳","U+1F6B3","no bicycles","Symbols","Warning","fully-qualified","Yes"
"🚱","U+1F6B1","non-potable water","Symbols","Warning","fully-qualified","Yes"
"🔞","U+1F51E","no one under eighteen","Symbols","Warning","fully-qualified","Yes"
"📵","U+1F4F5","no mobile phones","Symbols","Warning","fully-qualified","Yes"
"🚭","U+1F6AD","no smoking","Symbols","Warning","fully-qualified","Yes"
"❗","U+2757","exclamation mark","Symbols","Other","fully-qualified","Yes"
"❕","U+2755","white exclamation mark","Symbols","Other","fully-qualified","Yes"
"❓","U+2753","question mark","Symbols","Other","fully-qualified","Yes"
"❔","U+2754","white question mark","Symbols","Other","fully-qualified","Yes"
"‼","U+203C","double exclamation mark","Symbols","Other","non-fully-qualified","Yes"
"⁉","U+2049","exclamation question mark","Symbols","Other","non-fully-qualified","Yes"
"🔅","U+1F505","dim button","Symbols","AVSymbol","fully-qualified","Yes"
"🔆","U+1F506","bright button","Symbols","AVSymbol","fully-qualified","Yes"
"〽","U+303D","part alternation mark","Symbols","Other","non-fully-qualified","Yes"
"⚠","U+26A0","warning","Symbols","Warning","non-fully-qualified","Yes"
"🚸","U+1F6B8","children crossing","Symbols","Warning","fully-qualified","Yes"
"🔱","U+1F531","trident emblem","Symbols","Other","fully-qualified","Yes"
"⚜","U+269C","fleur-de-lis","Symbols","Other","non-fully-qualified","Yes"
"🔰","U+1F530","Japanese symbol for beginner","Symbols","Other","fully-qualified","Yes"
"♻","U+267B","recycling symbol","Symbols","Other","non-fully-qualified","Yes"
"✅","U+2705","white heavy check mark","Symbols","Other","fully-qualified","Yes"
"🈯","U+1F22F","Japanese ""reserved"" button","Symbols","AlphaNum","fully-qualified","Yes"
"💹","U+1F4B9","chart increasing with yen","Objects","Money","fully-qualified","Yes"
"❇","U+2747","sparkle","Symbols","Other","non-fully-qualified","Yes"
"✳","U+2733","eight-spoked asterisk","Symbols","Other","non-fully-qualified","Yes"
"❎","U+274E","cross mark button","Symbols","Other","fully-qualified","Yes"
"🌐","U+1F310","globe with meridians","TravelNPlaces","PlaceMap","fully-qualified","Yes"
"💠","U+1F4A0","diamond with a dot","Symbols","Geometric","fully-qualified","Yes"
"Ⓜ","U+24C2","circled M","Symbols","AlphaNum","non-fully-qualified","Yes"
"🌀","U+1F300","cyclone","TravelNPlaces","SkyNWeather","fully-qualified","Yes"
"💤","U+1F4A4","zzz","SmileysNPeople","Emotion","fully-qualified","Yes"
"🏧","U+1F3E7","ATM sign","Symbols","TransportSign","fully-qualified","Yes"
"🚾","U+1F6BE","water closet","Symbols","TransportSign","fully-qualified","Yes"
"♿","U+267F","wheelchair symbol","Symbols","TransportSign","fully-qualified","Yes"
"🅿","U+1F17F","P button","Symbols","AlphaNum","non-fully-qualified","Yes"
"🈳","U+1F233","Japanese ""vacancy"" button","Symbols","AlphaNum","fully-qualified","Yes"
"🈂","U+1F202","Japanese ""service charge"" button","Symbols","AlphaNum","non-fully-qualified","Yes"
"🛂","U+1F6C2","passport control","Symbols","TransportSign","fully-qualified","Yes"
"🛃","U+1F6C3","customs","Symbols","TransportSign","fully-qualified","Yes"
"🛄","U+1F6C4","baggage claim","Symbols","TransportSign","fully-qualified","Yes"
"🛅","U+1F6C5","left luggage","Symbols","TransportSign","fully-qualified","Yes"
"🚹","U+1F6B9","men's room","Symbols","TransportSign","fully-qualified","Yes"
"🚺","U+1F6BA","women's room","Symbols","TransportSign","fully-qualified","Yes"
"🚼","U+1F6BC","baby symbol","Symbols","TransportSign","fully-qualified","Yes"
"🚻","U+1F6BB","restroom","Symbols","TransportSign","fully-qualified","Yes"
"🚮","U+1F6AE","litter in bin sign","Symbols","TransportSign","fully-qualified","Yes"
"🎦","U+1F3A6","cinema","Symbols","AVSymbol","fully-qualified","Yes"
"📶","U+1F4F6","antenna bars","Symbols","AVSymbol","fully-qualified","Yes"
"🈁","U+1F201","Japanese ""here"" button","Symbols","AlphaNum","fully-qualified","Yes"
"🔣","U+1F523","input symbols","Symbols","AlphaNum","fully-qualified","Yes"
"ℹ","U+2139","information","Symbols","AlphaNum","non-fully-qualified","Yes"
"🔤","U+1F524","input latin letters","Symbols","AlphaNum","fully-qualified","Yes"
"🔡","U+1F521","input latin lowercase","Symbols","AlphaNum","fully-qualified","Yes"
"🔠","U+1F520","input latin uppercase","Symbols","AlphaNum","fully-qualified","Yes"
"🆖","U+1F196","NG button","Symbols","AlphaNum","fully-qualified","Yes"
"🆗","U+1F197","OK button","Symbols","AlphaNum","fully-qualified","Yes"
"🆙","U+1F199","UP! button","Symbols","AlphaNum","fully-qualified","Yes"
"🆒","U+1F192","COOL button","Symbols","AlphaNum","fully-qualified","Yes"
"🆕","U+1F195","NEW button","Symbols","AlphaNum","fully-qualified","Yes"
"🆓","U+1F193","FREE button","Symbols","AlphaNum","fully-qualified","Yes"
"0⃣","U+0030 U+FE0F U+20E3","keycap: 0","Symbol","KeyCap","fully-qualified","Yes"
"1⃣","U+0031 U+FE0F U+20E3","keycap: 1","Symbol","KeyCap","fully-qualified","Yes"
"2⃣","U+0032 U+FE0F U+20E3","keycap: 2","Symbol","KeyCap","fully-qualified","Yes"
"3⃣","U+0033 U+FE0F U+20E3","keycap: 3","Symbol","KeyCap","fully-qualified","Yes"
"4⃣","U+0034 U+FE0F U+20E3","keycap: 4","Symbol","KeyCap","fully-qualified","Yes"
"5⃣","U+0035 U+FE0F U+20E3","keycap: 5","Symbol","KeyCap","fully-qualified","Yes"
"6⃣","U+0036 U+FE0F U+20E3","keycap: 6","Symbol","KeyCap","fully-qualified","Yes"
"7⃣","U+0037 U+FE0F U+20E3","keycap: 7","Symbol","KeyCap","fully-qualified","Yes"
"8⃣","U+0038 U+FE0F U+20E3","keycap: 8","Symbol","KeyCap","fully-qualified","Yes"
"9⃣","U+0039 U+FE0F U+20E3","keycap: 9","Symbol","KeyCap","fully-qualified","Yes"
"🔟","U+1F51F","keycap 10","Symbols","KeyCap","fully-qualified","Yes"
"🔢","U+1F522","input numbers","Symbols","AlphaNum","fully-qualified","Yes"
"#⃣","U+0023 U+FE0F U+20E3","keycap: #","Symbol","KeyCap","fully-qualified","Yes"
"*⃣","U+002A U+FE0F U+20E3","keycap: *","Symbol","KeyCap","fully-qualified","Yes"
"⏏","U+23CF","eject button","Symbols","AVSymbol","non-fully-qualified","Yes"
"▶","U+25B6","play button","Symbols","AVSymbol","non-fully-qualified","Yes"
"⏸","U+23F8","pause button","Symbols","AVSymbol","non-fully-qualified","Yes"
"⏯","U+23EF","play or pause button","Symbols","AVSymbol","non-fully-qualified","Yes"
"⏹","U+23F9","stop button","Symbols","AVSymbol","non-fully-qualified","Yes"
"⏺","U+23FA","record button","Symbols","AVSymbol","non-fully-qualified","Yes"
"⏭","U+23ED","next track button","Symbols","AVSymbol","non-fully-qualified","Yes"
"⏮","U+23EE","last track button","Symbols","AVSymbol","non-fully-qualified","Yes"
"⏩","U+23E9","fast-forward button","Symbols","AVSymbol","fully-qualified","Yes"
"⏪","U+23EA","fast reverse button","Symbols","AVSymbol","fully-qualified","Yes"
"⏫","U+23EB","fast up button","Symbols","AVSymbol","fully-qualified","Yes"
"⏬","U+23EC","fast down button","Symbols","AVSymbol","fully-qualified","Yes"
"◀","U+25C0","reverse button","Symbols","AVSymbol","non-fully-qualified","Yes"
"🔼","U+1F53C","up button","Symbols","AVSymbol","fully-qualified","Yes"
"🔽","U+1F53D","down button","Symbols","AVSymbol","fully-qualified","Yes"
"➡","U+27A1","right arrow","Symbols","Arrow","non-fully-qualified","Yes"
"⬅","U+2B05","left arrow","Symbols","Arrow","non-fully-qualified","Yes"
"⬆","U+2B06","up arrow","Symbols","Arrow","non-fully-qualified","Yes"
"⬇","U+2B07","down arrow","Symbols","Arrow","non-fully-qualified","Yes"
"↗","U+2197","up-right arrow","Symbols","Arrow","non-fully-qualified","Yes"
"↘","U+2198","down-right arrow","Symbols","Arrow","non-fully-qualified","Yes"
"↙","U+2199","down-left arrow","Symbols","Arrow","non-fully-qualified","Yes"
"↖","U+2196","up-left arrow","Symbols","Arrow","non-fully-qualified","Yes"
"↕","U+2195","up-down arrow","Symbols","Arrow","non-fully-qualified","Yes"
"↔","U+2194","left-right arrow","Symbols","Arrow","non-fully-qualified","Yes"
"↪","U+21AA","left arrow curving right","Symbols","Arrow","non-fully-qualified","Yes"
"↩","U+21A9","right arrow curving left","Symbols","Arrow","non-fully-qualified","Yes"
"⤴","U+2934","right arrow curving up","Symbols","Arrow","non-fully-qualified","Yes"
"⤵","U+2935","right arrow curving down","Symbols","Arrow","non-fully-qualified","Yes"
"🔀","U+1F500","shuffle tracks button","Symbols","AVSymbol","fully-qualified","Yes"
"🔁","U+1F501","repeat button","Symbols","AVSymbol","fully-qualified","Yes"
"🔂","U+1F502","repeat single button","Symbols","AVSymbol","fully-qualified","Yes"
"🔄","U+1F504","counterclockwise arrows button","Symbols","Arrow","fully-qualified","Yes"
"🔃","U+1F503","clockwise vertical arrows","Symbols","Arrow","fully-qualified","Yes"
"🎵","U+1F3B5","musical note","Objects","Music","fully-qualified","Yes"
"🎶","U+1F3B6","musical notes","Objects","Music","fully-qualified","Yes"
"➕","U+2795","heavy plus sign","Symbols","Other","fully-qualified","Yes"
"➖","U+2796","heavy minus sign","Symbols","Other","fully-qualified","Yes"
"➗","U+2797","heavy division sign","Symbols","Other","fully-qualified","Yes"
"✖","U+2716","heavy multiplication x","Symbols","Other","non-fully-qualified","Yes"
"💲","U+1F4B2","heavy dollar sign","Objects","Money","fully-qualified","Yes"
"💱","U+1F4B1","currency exchange","Objects","Money","fully-qualified","Yes"
"™","U+2122","trade mark","Symbols","Other","non-fully-qualified","Yes"
"©","U+00A9","copyright","Symbols","Other","non-fully-qualified","Yes"
"®","U+00AE","registered","Symbols","Other","non-fully-qualified","Yes"
"〰","U+3030","wavy dash","Symbols","Other","non-fully-qualified","Yes"
"➰","U+27B0","curly loop","Symbols","Other","fully-qualified","Yes"
"➿","U+27BF","double curly loop","Symbols","Other","fully-qualified","Yes"
"🔚","U+1F51A","END arrow","Symbols","Arrow","fully-qualified","Yes"
"🔙","U+1F519","BACK arrow","Symbols","Arrow","fully-qualified","Yes"
"🔛","U+1F51B","ON! arrow","Symbols","Arrow","fully-qualified","Yes"
"🔝","U+1F51D","TOP arrow","Symbols","Arrow","fully-qualified","Yes"
"🔜","U+1F51C","SOON arrow","Symbols","Arrow","fully-qualified","Yes"
"✔","U+2714","heavy check mark","Symbols","Other","non-fully-qualified","Yes"
"☑","U+2611","ballot box with check","Symbols","Other","non-fully-qualified","Yes"
"🔘","U+1F518","radio button","Symbols","Geometric","fully-qualified","Yes"
"⚪","U+26AA","white circle","Symbols","Geometric","fully-qualified","Yes"
"⚫","U+26AB","black circle","Symbols","Geometric","fully-qualified","Yes"
"🔴","U+1F534","red circle","Symbols","Geometric","fully-qualified","Yes"
"🔵","U+1F535","blue circle","Symbols","Geometric","fully-qualified","Yes"
"🔺","U+1F53A","red triangle pointed up","Symbols","Geometric","fully-qualified","Yes"
"🔻","U+1F53B","red triangle pointed down","Symbols","Geometric","fully-qualified","Yes"
"🔸","U+1F538","small orange diamond","Symbols","Geometric","fully-qualified","Yes"
"🔹","U+1F539","small blue diamond","Symbols","Geometric","fully-qualified","Yes"
"🔶","U+1F536","large orange diamond","Symbols","Geometric","fully-qualified","Yes"
"🔷","U+1F537","large blue diamond","Symbols","Geometric","fully-qualified","Yes"
"🔳","U+1F533","white square button","Symbols","Geometric","fully-qualified","Yes"
"🔲","U+1F532","black square button","Symbols","Geometric","fully-qualified","Yes"
"▪","U+25AA","black small square","Symbols","Geometric","non-fully-qualified","Yes"
"◾","U+25FE","black medium-small square","Symbols","Geometric","fully-qualified","Yes"
"◽","U+25FD","white medium-small square","Symbols","Geometric","fully-qualified","Yes"
"◼","U+25FC","black medium square","Symbols","Geometric","non-fully-qualified","Yes"
"◻","U+25FB","white medium square","Symbols","Geometric","non-fully-qualified","Yes"
"⬛","U+2B1B","black large square","Symbols","Geometric","fully-qualified","Yes"
"⬜","U+2B1C","white large square","Symbols","Geometric","fully-qualified","Yes"
"🔈","U+1F508","speaker low volume","Objects","Sound","fully-qualified","Yes"
"🔇","U+1F507","muted speaker","Objects","Sound","fully-qualified","Yes"
"🔉","U+1F509","speaker medium volume","Objects","Sound","fully-qualified","Yes"
"🔊","U+1F50A","speaker high volume","Objects","Sound","fully-qualified","Yes"
"🔔","U+1F514","bell","Objects","Sound","fully-qualified","Yes"
"🔕","U+1F515","bell with slash","Objects","Sound","fully-qualified","Yes"
"📣","U+1F4E3","megaphone","Objects","Sound","fully-qualified","Yes"
"📢","U+1F4E2","loudspeaker","Objects","Sound","fully-qualified","Yes"
"👁‍🗨","U+1F441 U+200D U+1F5E8","eye in speech bubble","SmileysNPeople","Body","non-fully-qualified","Yes"
"💬","U+1F4AC","speech balloon","SmileysNPeople","Emotion","fully-qualified","Yes"
"💭","U+1F4AD","thought balloon","SmileysNPeople","Emotion","fully-qualified","Yes"
"🗯","U+1F5EF","right anger bubble","SmileysNPeople","Emotion","non-fully-qualified","Yes"
"♠","U+2660","spade suit","Activities","Game","non-fully-qualified","Yes"
"♣","U+2663","club suit","Activities","Game","non-fully-qualified","Yes"
"♥","U+2665","heart suit","Activities","Game","non-fully-qualified","Yes"
"♦","U+2666","diamond suit","Activities","Game","non-fully-qualified","Yes"
"🃏","U+1F0CF","joker","Activities","Game","fully-qualified","Yes"
"🎴","U+1F3B4","flower playing cards","Activities","Game","fully-qualified","Yes"
"🀄","U+1F004","mahjong red dragon","Activities","Game","fully-qualified","Yes"
"🕐","U+1F550","one o'clock","TravelNPlaces","Time","fully-qualified","Yes"
"🕑","U+1F551","two o'clock","TravelNPlaces","Time","fully-qualified","Yes"
"🕒","U+1F552","three o'clock","TravelNPlaces","Time","fully-qualified","Yes"
"🕓","U+1F553","four o'clock","TravelNPlaces","Time","fully-qualified","Yes"
"🕔","U+1F554","five o'clock","TravelNPlaces","Time","fully-qualified","Yes"
"🕕","U+1F555","six o'clock","TravelNPlaces","Time","fully-qualified","Yes"
"🕖","U+1F556","seven o'clock","TravelNPlaces","Time","fully-qualified","Yes"
"🕗","U+1F557","eight o'clock","TravelNPlaces","Time","fully-qualified","Yes"
"🕘","U+1F558","nine o'clock","TravelNPlaces","Time","fully-qualified","Yes"
"🕙","U+1F559","ten o'clock","TravelNPlaces","Time","fully-qualified","Yes"
"🕚","U+1F55A","eleven o'clock","TravelNPlaces","Time","fully-qualified","Yes"
"🕛","U+1F55B","twelve o'clock","TravelNPlaces","Time","fully-qualified","Yes"
"🕜","U+1F55C","one-thirty","TravelNPlaces","Time","fully-qualified","Yes"
"🕝","U+1F55D","two-thirty","TravelNPlaces","Time","fully-qualified","Yes"
"🕞","U+1F55E","three-thirty","TravelNPlaces","Time","fully-qualified","Yes"
"🕟","U+1F55F","four-thirty","TravelNPlaces","Time","fully-qualified","Yes"
"🕠","U+1F560","five-thirty","TravelNPlaces","Time","fully-qualified","Yes"
"🕡","U+1F561","six-thirty","TravelNPlaces","Time","fully-qualified","Yes"
"🕢","U+1F562","seven-thirty","TravelNPlaces","Time","fully-qualified","Yes"
"🕣","U+1F563","eight-thirty","TravelNPlaces","Time","fully-qualified","Yes"
"🕤","U+1F564","nine-thirty","TravelNPlaces","Time","fully-qualified","Yes"
"🕥","U+1F565","ten-thirty","TravelNPlaces","Time","fully-qualified","Yes"
"🕦","U+1F566","eleven-thirty","TravelNPlaces","Time","fully-qualified","Yes"
"🕧","U+1F567","twelve-thirty","TravelNPlaces","Time","fully-qualified","Yes"
"🏳","U+1F3F3","white flag","Flags","Flags","non-fully-qualified","Yes"
"🏴","U+1F3F4","black flag","Flags","Flags","fully-qualified","Yes"
"🏁","U+1F3C1","chequered flag","Flags","Flags","fully-qualified","Yes"
"🚩","U+1F6A9","triangular flag","Flags","Flags","fully-qualified","Yes"
"🏳‍🌈","U+1F3F3 U+200D U+1F308","rainbow flag","Flags","Flags","non-fully-qualified","Yes"
"🇦🇫","U+1F1E6 U+1F1EB","Afghanistan","Flags","CountryFlags","fully-qualified","Yes"
"🇦🇽","U+1F1E6 U+1F1FD","Aland Islands","Flags","CountryFlags","fully-qualified","Yes"
"🇦🇱","U+1F1E6 U+1F1F1","Albania","Flags","CountryFlags","fully-qualified","Yes"
"🇩🇿","U+1F1E9 U+1F1FF","Algeria","Flags","CountryFlags","fully-qualified","Yes"
"🇦🇸","U+1F1E6 U+1F1F8","American Samoa","Flags","CountryFlags","fully-qualified","Yes"
"🇦🇩","U+1F1E6 U+1F1E9","Andorra","Flags","CountryFlags","fully-qualified","Yes"
"🇦🇴","U+1F1E6 U+1F1F4","Angola","Flags","CountryFlags","fully-qualified","Yes"
"🇦🇮","U+1F1E6 U+1F1EE","Anguilla","Flags","CountryFlags","fully-qualified","Yes"
"🇦🇶","U+1F1E6 U+1F1F6","Antarctica","Flags","CountryFlags","fully-qualified","Yes"
"🇦🇬","U+1F1E6 U+1F1EC","Antigua & Barbuda","Flags","CountryFlags","fully-qualified","Yes"
"🇦🇷","U+1F1E6 U+1F1F7","Argentina","Flags","CountryFlags","fully-qualified","Yes"
"🇦🇲","U+1F1E6 U+1F1F2","Armenia","Flags","CountryFlags","fully-qualified","Yes"
"🇦🇼","U+1F1E6 U+1F1FC","Aruba","Flags","CountryFlags","fully-qualified","Yes"
