"R.native","FormalUnicodeNotation","Desc","Group","Subgroup","Status","WAImpMatch"
"👍🏿","U+1F44D U+1F3FF","thumbs up: dark skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"👎","U+1F44E","thumbs down","SmileysNPeople","Body","fully-qualified","Yes"
"👎🏻","U+1F44E U+1F3FB","thumbs down: light skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"👎🏼","U+1F44E U+1F3FC","thumbs down: medium-light skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"👎🏽","U+1F44E U+1F3FD","thumbs down: medium skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"👎🏾","U+1F44E U+1F3FE","thumbs down: medium-dark skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"👎🏿","U+1F44E U+1F3FF","thumbs down: dark skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"👊","U+1F44A","oncoming fist","SmileysNPeople","Body","fully-qualified","Yes"
"👊🏻","U+1F44A U+1F3FB","oncoming fist: light skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"👊🏼","U+1F44A U+1F3FC","oncoming fist: medium-light skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"👊🏽","U+1F44A U+1F3FD","oncoming fist: medium skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"👊🏾","U+1F44A U+1F3FE","oncoming fist: medium-dark skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"👊🏿","U+1F44A U+1F3FF","oncoming fist: dark skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"✊","U+270A","raised fist","SmileysNPeople","Body","fully-qualified","Yes"
"✊🏻","U+270A U+1F3FB","raised fist: light skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"✊🏼","U+270A U+1F3FC","raised fist: medium-light skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"✊🏽","U+270A U+1F3FD","raised fist: medium skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"✊🏾","U+270A U+1F3FE","raised fist: medium-dark skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"✊🏿","U+270A U+1F3FF","raised fist: dark skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🤛","U+1F91B","left-facing fist","SmileysNPeople","Body","fully-qualified","Yes"
"🤛🏻","U+1F91B U+1F3FB","left-facing fist: light skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🤛🏼","U+1F91B U+1F3FC","left-facing fist: medium-light skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🤛🏽","U+1F91B U+1F3FD","left-facing fist: medium skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🤛🏾","U+1F91B U+1F3FE","left-facing fist: medium-dark skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🤛🏿","U+1F91B U+1F3FF","left-facing fist: dark skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🤜","U+1F91C","right-facing fist","SmileysNPeople","Body","fully-qualified","Yes"
"🤜🏻","U+1F91C U+1F3FB","right-facing fist: light skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🤜🏼","U+1F91C U+1F3FC","right-facing fist: medium-light skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🤜🏽","U+1F91C U+1F3FD","right-facing fist: medium skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🤜🏾","U+1F91C U+1F3FE","right-facing fist: medium-dark skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🤜🏿","U+1F91C U+1F3FF","right-facing fist: dark skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🤞","U+1F91E","crossed fingers","SmileysNPeople","Body","fully-qualified","Yes"
"🤞🏻","U+1F91E U+1F3FB","crossed fingers: light skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🤞🏼","U+1F91E U+1F3FC","crossed fingers: medium-light skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🤞🏽","U+1F91E U+1F3FD","crossed fingers: medium skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🤞🏾","U+1F91E U+1F3FE","crossed fingers: medium-dark skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🤞🏿","U+1F91E U+1F3FF","crossed fingers: dark skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"✌","U+270C","victory hand","SmileysNPeople","Body","non-fully-qualified","Yes"
"✌🏻","U+270C U+1F3FB","victory hand: light skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"✌🏼","U+270C U+1F3FC","victory hand: medium-light skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"✌🏽","U+270C U+1F3FD","victory hand: medium skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"✌🏾","U+270C U+1F3FE","victory hand: medium-dark skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"✌🏿","U+270C U+1F3FF","victory hand: dark skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🤟","U+1F91F","love-you gesture","SmileysNPeople","Body","fully-qualified","Yes"
"🤟🏻","U+1F91F U+1F3FB","love-you gesture: light skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🤟🏼","U+1F91F U+1F3FC","love-you gesture: medium-light skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🤟🏽","U+1F91F U+1F3FD","love-you gesture: medium skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🤟🏾","U+1F91F U+1F3FE","love-you gesture: medium-dark skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🤟🏿","U+1F91F U+1F3FF","love-you gesture: dark skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🤘","U+1F918","sign of the horns","SmileysNPeople","Body","fully-qualified","Yes"
"🤘🏻","U+1F918 U+1F3FB","sign of the horns: light skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🤘🏼","U+1F918 U+1F3FC","sign of the horns: medium-light skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🤘🏽","U+1F918 U+1F3FD","sign of the horns: medium skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🤘🏾","U+1F918 U+1F3FE","sign of the horns: medium-dark skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🤘🏿","U+1F918 U+1F3FF","sign of the horns: dark skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"👌","U+1F44C","OK hand","SmileysNPeople","Body","fully-qualified","Yes"
"👌🏻","U+1F44C U+1F3FB","OK hand: light skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"👌🏼","U+1F44C U+1F3FC","OK hand: medium-light skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"👌🏽","U+1F44C U+1F3FD","OK hand: medium skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"👌🏾","U+1F44C U+1F3FE","OK hand: medium-dark skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"👌🏿","U+1F44C U+1F3FF","OK hand: dark skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"👈","U+1F448","backhand index pointing left","SmileysNPeople","Body","fully-qualified","Yes"
"👈🏻","U+1F448 U+1F3FB","backhand index pointing left: light skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"👈🏼","U+1F448 U+1F3FC","backhand index pointing left: medium-light skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"👈🏽","U+1F448 U+1F3FD","backhand index pointing left: medium skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"👈🏾","U+1F448 U+1F3FE","backhand index pointing left: medium-dark skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"👈🏿","U+1F448 U+1F3FF","backhand index pointing left: dark skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"👉","U+1F449","backhand index pointing right","SmileysNPeople","Body","fully-qualified","Yes"
"👉🏻","U+1F449 U+1F3FB","backhand index pointing right: light skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"👉🏼","U+1F449 U+1F3FC","backhand index pointing right: medium-light skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"👉🏽","U+1F449 U+1F3FD","backhand index pointing right: medium skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"👉🏾","U+1F449 U+1F3FE","backhand index pointing right: medium-dark skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"👉🏿","U+1F449 U+1F3FF","backhand index pointing right: dark skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"👆","U+1F446","backhand index pointing up","SmileysNPeople","Body","fully-qualified","Yes"
"👆🏻","U+1F446 U+1F3FB","backhand index pointing up: light skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"👆🏼","U+1F446 U+1F3FC","backhand index pointing up: medium-light skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"👆🏽","U+1F446 U+1F3FD","backhand index pointing up: medium skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"👆🏾","U+1F446 U+1F3FE","backhand index pointing up: medium-dark skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"👆🏿","U+1F446 U+1F3FF","backhand index pointing up: dark skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"👇","U+1F447","backhand index pointing down","SmileysNPeople","Body","fully-qualified","Yes"
"👇🏻","U+1F447 U+1F3FB","backhand index pointing down: light skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"👇🏼","U+1F447 U+1F3FC","backhand index pointing down: medium-light skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"👇🏽","U+1F447 U+1F3FD","backhand index pointing down: medium skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"👇🏾","U+1F447 U+1F3FE","backhand index pointing down: medium-dark skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"👇🏿","U+1F447 U+1F3FF","backhand index pointing down: dark skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"☝","U+261D","index pointing up","SmileysNPeople","Body","non-fully-qualified","Yes"
"☝🏻","U+261D U+1F3FB","index pointing up: light skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"☝🏼","U+261D U+1F3FC","index pointing up: medium-light skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"☝🏽","U+261D U+1F3FD","index pointing up: medium skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"☝🏾","U+261D U+1F3FE","index pointing up: medium-dark skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"☝🏿","U+261D U+1F3FF","index pointing up: dark skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"✋","U+270B","raised hand","SmileysNPeople","Body","fully-qualified","Yes"
"✋🏻","U+270B U+1F3FB","raised hand: light skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"✋🏼","U+270B U+1F3FC","raised hand: medium-light skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"✋🏽","U+270B U+1F3FD","raised hand: medium skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"✋🏾","U+270B U+1F3FE","raised hand: medium-dark skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"✋🏿","U+270B U+1F3FF","raised hand: dark skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🤚","U+1F91A","raised back of hand","SmileysNPeople","Body","fully-qualified","Yes"
"🤚🏻","U+1F91A U+1F3FB","raised back of hand: light skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🤚🏼","U+1F91A U+1F3FC","raised back of hand: medium-light skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🤚🏽","U+1F91A U+1F3FD","raised back of hand: medium skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🤚🏾","U+1F91A U+1F3FE","raised back of hand: medium-dark skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🤚🏿","U+1F91A U+1F3FF","raised back of hand: dark skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🖐","U+1F590","hand with fingers splayed","SmileysNPeople","Body","non-fully-qualified","Yes"
"🖐🏻","U+1F590 U+1F3FB","hand with fingers splayed: light skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🖐🏼","U+1F590 U+1F3FC","hand with fingers splayed: medium-light skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🖐🏽","U+1F590 U+1F3FD","hand with fingers splayed: medium skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🖐🏾","U+1F590 U+1F3FE","hand with fingers splayed: medium-dark skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🖐🏿","U+1F590 U+1F3FF","hand with fingers splayed: dark skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🖖","U+1F596","vulcan salute","SmileysNPeople","Body","fully-qualified","Yes"
"🖖🏻","U+1F596 U+1F3FB","vulcan salute: light skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🖖🏼","U+1F596 U+1F3FC","vulcan salute: medium-light skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🖖🏽","U+1F596 U+1F3FD","vulcan salute: medium skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🖖🏾","U+1F596 U+1F3FE","vulcan salute: medium-dark skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🖖🏿","U+1F596 U+1F3FF","vulcan salute: dark skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"👋","U+1F44B","waving hand","SmileysNPeople","Body","fully-qualified","Yes"
"👋🏻","U+1F44B U+1F3FB","waving hand: light skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"👋🏼","U+1F44B U+1F3FC","waving hand: medium-light skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"👋🏽","U+1F44B U+1F3FD","waving hand: medium skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"👋🏾","U+1F44B U+1F3FE","waving hand: medium-dark skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"👋🏿","U+1F44B U+1F3FF","waving hand: dark skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🤙","U+1F919","call me hand","SmileysNPeople","Body","fully-qualified","Yes"
"🤙🏻","U+1F919 U+1F3FB","call me hand: light skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🤙🏼","U+1F919 U+1F3FC","call me hand: medium-light skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🤙🏽","U+1F919 U+1F3FD","call me hand: medium skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🤙🏾","U+1F919 U+1F3FE","call me hand: medium-dark skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🤙🏿","U+1F919 U+1F3FF","call me hand: dark skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"💪","U+1F4AA","flexed biceps","SmileysNPeople","Body","fully-qualified","Yes"
"💪🏻","U+1F4AA U+1F3FB","flexed biceps: light skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"💪🏼","U+1F4AA U+1F3FC","flexed biceps: medium-light skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"💪🏽","U+1F4AA U+1F3FD","flexed biceps: medium skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"💪🏾","U+1F4AA U+1F3FE","flexed biceps: medium-dark skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"💪🏿","U+1F4AA U+1F3FF","flexed biceps: dark skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🖕🏻","U+1F595 U+1F3FB","middle finger: light skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🖕🏼","U+1F595 U+1F3FC","middle finger: medium-light skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🖕🏽","U+1F595 U+1F3FD","middle finger: medium skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🖕🏾","U+1F595 U+1F3FE","middle finger: medium-dark skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🖕🏿","U+1F595 U+1F3FF","middle finger: dark skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"✍","U+270D","writing hand","SmileysNPeople","Body","non-fully-qualified","Yes"
"✍🏻","U+270D U+1F3FB","writing hand: light skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"✍🏼","U+270D U+1F3FC","writing hand: medium-light skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"✍🏽","U+270D U+1F3FD","writing hand: medium skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"✍🏾","U+270D U+1F3FE","writing hand: medium-dark skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"✍🏿","U+270D U+1F3FF","writing hand: dark skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🙏","U+1F64F","folded hands","SmileysNPeople","Body","fully-qualified","Yes"
"🙏🏻","U+1F64F U+1F3FB","folded hands: light skin tone","SmileysNPeople","Body","fully-qualified","Yes"
"🙏🏼","U+1F64F U+1F3FC","folded hands: medium-light skin tone","SmileysNPeople","Body","fully-qualified","Yes"
